18.75       |       22.95      |       1
21.45       |       21.45      |       6
20.5       |       22.85      |       6
20.65       |       24.3      |       6
21.7       |       23.8      |       6
23.1       |       21.7      |       6
13.35       |       28.45      |       1
12.4       |       27.85      |       1
12.2       |       28.65      |       1
12.9       |       26.5      |       1
11.15       |       28.7      |       1
10.5       |       28.35      |       1
10.25       |       27.25      |       1
12.6       |       24.05      |       1
10.05       |       25.95      |       1
8.5       |       27.05      |       1
7.55       |       26.3      |       1
9.4       |       25.55      |       1
10.55       |       24.35      |       1
5.4       |       25.25      |       1
4.3       |       24.0      |       1
6.1       |       22.6      |       1
6.4       |       21.95      |       1
8.45       |       17.2      |       1
12.3       |       22.75      |       1
9.95       |       19.8      |       1
12.0       |       20.0      |       1
11.4       |       19.25      |       1
15.2       |       18.2      |       1
31.9       |       4.4      |       3
32.8       |       6.0      |       3
35.45       |       4.1      |       3
32.3       |       7.65      |       3
31.8       |       9.45      |       4
34.7       |       8.0      |       3
34.55       |       8.85      |       3
31.2       |       12.0      |       4
33.1       |       12.75      |       4
35.8       |       11.55      |       4
34.05       |       13.05      |       4
11.05       |       9.1      |       5
14.3       |       12.45      |       2
14.45       |       10.75      |       2
12.35       |       8.45      |       2
12.4       |       7.1      |       2
15.1       |       10.25      |       2
16.75       |       11.5      |       2
15.05       |       7.8      |       2
10.6       |       5.05      |       5
13.9       |       5.3      |       2
12.75       |       3.0      |       2
15.15       |       7.1      |       2
15.25       |       2.7      |       2
15.7       |       6.35      |       2
17.3       |       4.8      |       2
18.15       |       1.95      |       7
20.45       |       2.8      |       7
18.65       |       4.75      |       7
16.6       |       7.95      |       2
20.8       |       4.7      |       7
20.55       |       5.75      |       7
17.5       |       8.25      |       2
18.0       |       8.55      |       7
20.05       |       6.95      |       7
24.15       |       4.55      |       7
20.0       |       8.2      |       7
16.95       |       10.35      |       2
19.0       |       11.65      |       7
20.7       |       10.65      |       7
20.95       |       10.2      |       7
21.75       |       8.2      |       7
23.0       |       7.35      |       7
23.7       |       8.85      |       7
5.15       |       3.45      |       5
4.95       |       4.05      |       5
7.1       |       4.3      |       5
8.5       |       3.25      |       5
32.45       |       16.75      |       4
30.55       |       18.8      |       6
31.55       |       19.65      |       6
33.7       |       17.0      |       4
31.75       |       20.25      |       6
31.55       |       22.2      |       6
30.95       |       24.15      |       6
33.65       |       21.9      |       6
33.8       |       20.4      |       6
36.35       |       20.6      |       6
34.6       |       22.05      |       6
34.9       |       23.5      |       6
33.6       |       23.9      |       6
33.7       |       24.85      |       6
30.25       |       24.3      |       6
31.25       |       27.85      |       6
33.85       |       26.05      |       6
34.65       |       26.85      |       6
9.7       |       12.1      |       5
5.7       |       12.25      |       5
7.85       |       11.85      |       5
7.65       |       11.1      |       5
8.3       |       10.55      |       5
